Nickname,NF Suffix,FanDuel Nickname
Kawhi Leonard,kawhi-leonard,Kawhi Leonard
Dejounte Murray,dejounte-murray,Dejounte Murray
Damian Lillard,damian-lillard,Damian Lillard
James Harden,james-harden,James Harden
Trae Young,trae-young,Trae Young
Paolo Banchero,paolo-banchero,Paolo Banchero
Alperen Sengun,alperen-sengun,Alperen Sengun
Lauri Markkanen,lauri-markkanen,Lauri Markkanen
Paul George,paul-george,Paul George
Evan Mobley,evan-mobley,Evan Mobley
Jalen Johnson,jalen-johnson,Jalen Johnson
Fred VanVleet,fred-vanvleet,Fred VanVleet
Darius Garland,darius-garland,Darius Garland
Jarrett Allen,jarrett-allen,Jarrett Allen
Collin Sexton,collin-sexton,Collin Sexton
Jalen Green,jalen-green,Jalen Green
Franz Wagner,franz-wagner,Franz Wagner
Amen Thompson,amen-thompson,Amen Thompson
John Collins,john-collins,John Collins
Jordan Clarkson,jordan-clarkson,Jordan Clarkson
Keyonte George,keyonte-george,Keyonte George
Caris LeVert,caris-levert,Caris LeVert
Brook Lopez,brook-lopez,Brook Lopez
Clint Capela,clint-capela,Clint Capela
Bogdan Bogdanovic,bogdan-bogdanovic,Bogdan Bogdanovic
Wendell Carter,wendell-carter,Wendell Carter
Walker Kessler,walker-kessler,Walker Kessler
Ivica Zubac,ivica-zubac,Ivica Zubac
Max Strus,max-strus,Max Strus
Saddiq Bey,saddiq-bey,Saddiq Bey
Khris Middleton,khris-middleton,Khris Middleton
Jalen Suggs,jalen-suggs,Jalen Suggs
Malik Beasley,malik-beasley,Malik Beasley
Norman Powell,norman-powell,Norman Powell
Taylor Hendricks,taylor-hendricks,Taylor Hendricks
Onyeka Okongwu,onyeka-okongwu,Onyeka Okongwu
Terance Mann,terance-mann,Terance Mann
Dillon Brooks,dillon-brooks,Dillon Brooks
Cole Anthony,cole-anthony,Cole Anthony
Isaac Okoro,isaac-okoro,Isaac Okoro
Moritz Wagner,moritz-wagner,Moritz Wagner
Markelle Fultz,markelle-fultz,Markelle Fultz
Sam Merrill,sam-merrill,Sam Merrill
Daniel Theis,daniel-theis,Daniel Theis
Kris Dunn,kris-dunn,Kris Dunn
Cam Whitmore,cam-whitmore,Cam Whitmore
Patrick Beverley,patrick-beverley,Patrick Beverley
Gary Harris,gary-harris,Gary Harris
Talen Horton-Tucker,talen-horton-tucker,Talen Horton-Tucker
Craig Porter,craig-porter,Craig Porter
Mason Plumlee,mason-plumlee,Mason Plumlee
Jae Crowder,jae-crowder,Jae Crowder
Pat Connaughton,pat-connaughton,Pat Connaughton
